2022-03-24,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),500.000000
2023-03-08,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),333382.000000
2022-10-26,492,Akij Brand Portland Cement (OPC) (Bag),9150.000000
2021-10-25,492,Akij Brand Portland Cement (OPC) (Bag),8640.000000
2021-10-26,491,Akij Brand Portland Cement (OPC) (Ton),81.860000
2021-12-02,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),339.060000
2022-08-02,492,Akij Brand Portland Cement (OPC) (Bag),2310.000000
2023-01-12,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),310.080000
2022-07-11,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),141720.000000
2021-10-10,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),323.430000
2022-11-26,494,Akij Brand Composit Cement- Cem II/A  (Bag),1100.000000
2022-07-15,495,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Ton),120.810000
2023-04-15,492,Akij Brand Portland Cement (OPC) (Bag),6610.000000
2022-10-09,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),200.000000
2023-05-31,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),1346.360000
2022-04-18,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),405997.000000
2022-11-18,491,Akij Brand Portland Cement (OPC) (Ton),181.160000
2023-03-23,491,Akij Brand Portland Cement (OPC) (Ton),149.000000
2022-07-17,491,Akij Brand Portland Cement (OPC) (Ton),80.540000
2022-09-13,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),142617.000000
2021-09-09,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),321312.000000
2023-01-30,492,Akij Brand Portland Cement (OPC) (Bag),8750.000000
2022-01-15,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),426066.000000
2022-02-19,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),847.700000
2022-02-21,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),393884.000000
2021-09-09,492,Akij Brand Portland Cement (OPC) (Bag),5056.000000
2021-09-15,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),932045.000000
2023-04-20,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),419155.000000
2022-04-18,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),855.140000
2023-04-13,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),351152.000000
2023-04-13,492,Akij Brand Portland Cement (OPC) (Bag),12060.000000
2021-12-10,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),283320.000000
2022-02-07,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),513.060000
2023-05-18,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),469.300000
2023-01-16,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),327988.000000
2022-09-11,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),1300.000000
2022-01-26,491,Akij Brand Portland Cement (OPC) (Ton),159.940000
2022-09-07,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),1500.000000
2022-04-07,492,Akij Brand Portland Cement (OPC) (Bag),4100.000000
2021-12-01,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),262.280000
2023-04-10,491,Akij Brand Portland Cement (OPC) (Ton),75.620000
2022-12-23,495,Akij Brand Composit Cement -Cem II/A (Ton),95.800000
2022-09-19,491,Akij Brand Portland Cement (OPC) (Ton),252.900000
2023-02-07,492,Akij Brand Portland Cement (OPC) (Bag),13350.000000
2022-02-18,495,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Ton),95.760000
2021-12-26,492,Akij Brand Portland Cement (OPC) (Bag),8290.000000
2022-09-01,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),247789.000000
2022-02-27,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),450276.000000
2022-06-18,491,Akij Brand Portland Cement (OPC) (Ton),74.340000
2022-02-23,491,Akij Brand Portland Cement (OPC) (Ton),79.160000
2022-06-09,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),856.800000
2022-12-01,492,Akij Brand Portland Cement (OPC) (Bag),6158.000000
2023-04-24,492,Akij Brand Portland Cement (OPC) (Bag),2400.000000
2022-04-22,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),700.000000
2021-11-09,491,Akij Brand Portland Cement (OPC) (Ton),232.600000
2023-05-22,491,Akij Brand Portland Cement (OPC) (Ton),558.520000
2022-05-23,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),481.700000
2022-07-20,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),399219.000000
2022-04-30,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),242.000000
2022-08-19,491,Akij Brand Portland Cement (OPC) (Ton),44.900000
2022-10-28,491,Akij Brand Portland Cement (OPC) (Ton),130.670000
2022-05-20,492,Akij Brand Portland Cement (OPC) (Bag),7170.000000
2022-03-26,492,Akij Brand Portland Cement (OPC) (Bag),18160.000000
2023-02-03,492,Akij Brand Portland Cement (OPC) (Bag),12290.000000
2022-08-04,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),1600.000000
2023-05-25,492,Akij Brand Portland Cement (OPC) (Bag),8100.000000
2021-10-31,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),451.780000
2023-06-12,491,Akij Brand Portland Cement (OPC) (Ton),469.240000
2023-02-08,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),495.900000
2021-11-04,493,Akij Brand Composit Cement Cem 2/B (PCC) (Ton),618.100000
2023-01-06,492,Akij Brand Portland Cement (OPC) (Bag),10660.000000
2022-01-06,491,Akij Brand Portland Cement (OPC) (Ton),259.560000
2022-04-21,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),346338.000000
2021-11-13,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),144140.000000
2021-09-26,492,Akij Brand Portland Cement (OPC) (Bag),5200.000000
2022-09-24,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),900.000000
2021-12-29,491,Akij Brand Portland Cement (OPC) (Ton),307.320000
2023-03-04,492,Akij Brand Portland Cement (OPC) (Bag),18000.000000
2022-04-10,492,Akij Brand Portland Cement (OPC) (Bag),2500.000000
2021-10-12,491,Akij Brand Portland Cement (OPC) (Ton),108.580000
2021-09-28,491,Akij Brand Portland Cement (OPC) (Ton),107.280000
2022-08-11,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),400720.000000
2022-06-22,492,Akij Brand Portland Cement (OPC) (Bag),360.000000
2022-10-14,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),416191.000000
2023-05-15,491,Akij Brand Portland Cement (OPC) (Ton),81.360000
2021-11-09,490,Akij Brand Composit Cement Cem 2/B (PCC) (Bag),389159.000000
2022-04-17,494,Akij Brand Composit Cement Cem 2/B (PCC-AM) (Bag),1800.000000
2023-01-08,491,Akij Brand Portland Cement (OPC) (Ton),93.500000
2023-06-07,495,Akij Brand Composit Cement -Cem II/A (Ton),236.000000
2022-04-05,492,Akij Brand Portland Cement (OPC) (Bag),11500.000000
2022-12-21,494,Akij Brand Composit Cement- Cem II/A  (Bag),960.000000
2023-01-12,494,Akij Brand Composit Cement- Cem II/A  (Bag),400.000000
